WARNING 2020-02-27 11:00:09,961 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:09,998 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:09,999 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:10,030 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:10,031 basehttp 124 "GET /epgn_front_end/layui/layui.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:10,041 base 152 Not Found: /epgn_front_end/js/echart.js
WARNING 2020-02-27 11:00:10,042 basehttp 124 "GET /epgn_front_end/js/echart.js HTTP/1.1" 404 1926
INFO 2020-02-27 11:00:49,902 basehttp 124 "GET /home/ HTTP/1.1" 200 23448
WARNING 2020-02-27 11:00:49,946 base 152 Not Found: /epgn_front_end/layui/css/layui.css
WARNING 2020-02-27 11:00:49,952 base 152 Not Found: /epgn_front_end/js/vue_2.6.10.js
WARNING 2020-02-27 11:00:49,953 basehttp 124 "GET /epgn_front_end/js/vue_2.6.10.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:49,953 basehttp 124 "GET /epgn_front_end/layui/css/layui.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:49,971 base 152 Not Found: /epgn_front_end/layui/css/modules/layer/default/layer.css
WARNING 2020-02-27 11:00:49,963 base 152 Not Found: /epgn_front_end/layui/css/admin.css
WARNING 2020-02-27 11:00:49,974 base 152 Not Found: /epgn_front_end/js/jquery-3.4.1.js
WARNING 2020-02-27 11:00:49,976 basehttp 124 "GET /epgn_front_end/layui/css/modules/layer/default/layer.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:49,978 base 152 Not Found: /epgn_front_end/js/axios-0.18.0.min.js
WARNING 2020-02-27 11:00:49,979 basehttp 124 "GET /epgn_front_end/layui/css/admin.css HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:49,987 basehttp 124 "GET /epgn_front_end/js/axios-0.18.0.min.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:49,985 basehttp 124 "GET /epgn_front_end/js/jquery-3.4.1.js HTTP/1.1" 404 1926
WARNING 2020-02-27 11:00:49,984 base 152 Not Found: /epgn_front_end/layui/layui.js
WARNING 2020-02-27 11:00:49,996 base 152 Not Found: /epgn_front_end/js/echart.js
